#
#
# US Geological Survey
# retrieved: 2023-11-20 15:48:54 EST
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#
#
# query started 2023-11-20 15:48:54 EST
#
# there are 1968 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	coord_datum_cd
USGS	06806500	Weeping Water Creek at Union, Nebr.	ST	40.79416667	-95.91138890	S	NAD83
USGS	06806501	WEEPING WATER C NR UNION, NEBR.	ST	40.79611270	-95.90500520	F	NAD27
USGS	06807000	Missouri River at Nebraska City, NE	ST	40.68180556	-95.84708330	F	NAD83
USGS	06807418	Graybill Creek near Carson, IA	ST	41.23249355	-95.38111070	U	NAD27
USGS	06807420	Graybill Creek near Macedonia, IA	ST	41.17832740	-95.38610970	F	NAD27
USGS	06807440	Farm Creek near Macedonia, IA	ST	41.15999426	-95.38805380	F	NAD27
USGS	06807470	Indian Creek near Emerson, IA	ST	41.03055080	-95.38110660	F	NAD27
USGS	06807480	Indian Creek near Hastings, IA	ST	41.02971940	-95.49916500	F	NAD27
USGS	06807500	West Nishnabotna River at White Cloud, IA	ST	40.98722007	-95.52805390	F	NAD27
USGS	06807550	West Nishnabotna River near Malvern, IA	ST	40.95833166	-95.55638730	F	NAD27
USGS	06807650	Silver Creek near Treynor, IA	ST	41.17832989	-95.57639230	F	NAD27
USGS	06807780	Middle Silver Creek at Treynor, IA	ST	41.24360757	-95.61500560	F	NAD27
USGS	06807800	Middle Silver Creek near Treynor, IA	ST	41.17805239	-95.60028180	F	NAD27
USGS	06807900	Silver Creek near Malvern, IA	ST	40.94888740	-95.57249860	F	NAD27
USGS	06808000	Mule Creek near Malvern, IA	ST	40.94333208	-95.59527690	F	NAD27
USGS	06808200	Spring Valley Creek near Tabor, IA	ST	40.90916570	-95.60360960	F	NAD27
USGS	06808495	Unnamed Trib to W Nishnabotna Riv nr Randolph, IA	ST	40.87350000	-95.59458330	1	NAD83
USGS	06808500	West Nishnabotna River at Randolph, IA	ST	40.87327778	-95.58144440	F	NAD83
USGS	06808700	Walnut Creek near Hawthorne, IA	ST	40.95943996	-95.36165990	F	NAD27
USGS	06808800	Walnut Creek near Randolph, IA	ST	40.79416634	-95.55721620	F	NAD27
USGS	06808820	West Nishnabotna River near Riverton, IA	ST	40.68713960	-95.60049290	F	NAD27
USGS	06809500	East Nishnabotna River at Red Oak, IA	ST	41.00902778	-95.24136110	F	NAD83
USGS	06809750	East Nishnabotna River at Shenandoah, IA	ST	40.78555280	-95.38471120	F	NAD27
USGS	06809775	Fisher Creek near Shenandoah, IA	ST	40.74027778	-95.42222220	F	NAD83
USGS	06809800	East Nishnabotna River near Farragut, IA	ST	40.74333280	-95.47971240	F	NAD27
USGS	06809900	East Nishnabotna River at Riverton, IA	ST	40.69461110	-95.56258330	1	NAD83
USGS	06810000	Nishnabotna River above Hamburg, IA	ST	40.60119444	-95.64450000	F	NAD83
USGS	06810030	Main Ditch Number Six at Levee Rd near Hamburg, IA	ST-DCH	40.55497220	-95.65902780	F	NAD83
USGS	06810070	Missouri River at Brownville, NE	ST	40.39819444	-95.65366670	F	NAD83
USGS	06811500	Little Nemaha River at Auburn, Nebr.	ST	40.39277778	-95.81277780	S	NAD83
USGS	06811530	Little Nemaha River at Nemaha, Nebr.	ST	40.32350556	-95.67633610	H	NAD83
USGS	06811760	Tarkio River near Elliott, IA	ST	41.10165760	-95.10276700	F	NAD27
USGS	06811800	East Tarkio Creek near Stanton, IA	ST	41.07999087	-95.09304400	F	NAD27
USGS	06811820	Tarkio River Tributary near Stanton, IA	ST	41.04387987	-95.09887690	F	NAD27
USGS	06811840	Tarkio River at Stanton, IA	ST	40.97999135	-95.11498710	S	NAD27
USGS	06811860	Tarkio River near Coburg, IA	ST	40.89999198	-95.13359680	U	NAD27
USGS	06811875	Snake Creek near Yorktown, IA	ST	40.74249256	-95.12970390	U	NAD27
USGS	06811880	East Tarkio Creek near Yorktown, IA	ST	40.71666070	-95.20026050	U	NAD27
USGS	06811900	Tarkio River near Yorktown, IA	ST	40.71666100	-95.21692750	U	NAD27
USGS	06812000	Tarkio River at Blanchard, IA	ST	40.59582830	-95.22636930	S	NAD27
USGS	06812300	West Tarkio Creek near Coin, IA	ST	40.68332955	-95.30026200	U	NAD27
USGS	06812400	West Tarkio Creek near Northboro, IA	ST	40.58333125	-95.35026060	U	NAD27
USGS	06812500	West Tarkio Creek near Westboro, MO	ST	40.53891944	-95.38333060	S	NAD83
USGS	06813000	Tarkio River at Fairfax, MO	ST	40.33941667	-95.40683330	F	NAD83
USGS	06813500	Missouri River at Rulo, NE	ST	40.05205556	-95.42175000	F	NAD83
USGS	06814500	North Fork Big Nemaha River at Humboldt, Nebr.	ST	40.15694485	-95.94472060	S	NAD27
USGS	06815000	Big Nemaha River at Falls City, Nebr.	ST	40.03555770	-95.59609570	S	NAD27
USGS	06815270	SPRING C NR FAIRVIEW, KS	ST	39.84333430	-95.67665160	M	NAD27
USGS	06815274	WALNUT C NR FAIRVIEW, KS	ST	39.83805710	-95.63915080	M	NAD27
USGS	06815280	MULBERRY C NR FAIRVIEW, KS	ST	39.86666810	-95.65581800	M	NAD27
USGS	06815288	WALNUT C NR HAMLIN, KS	ST	39.89944687	-95.59331700	M	NAD27
USGS	06815290	TERRAPIN C AT HAMLIN, KS	ST	39.88111305	-95.62553970	M	NAD27
USGS	06815295	WALNUT C NR PADONIA, KS	ST	39.93722500	-95.56276110	R	NAD27
USGS	06815300	WALNUT C AT RESERVE, KS	ST	39.97222507	-95.55303900	M	NAD27
USGS	06815500	MUDDY CREEK AT VERDON, NEBR.	ST	40.14555556	-95.72027780	S	NAD83
USGS	06815530	Little Tarkio Creek near Tarkio	ST	40.40888460	-95.27358920	S	NAD27
USGS	06815550	Staples Branch near Burlington Junction, MO	ST	40.43749450	-95.20164380	S	NAD27
USGS	06815555	Davis Creek near Mound City, MO	ST	40.12965556	-95.23121110	S	NAD83
USGS	06815570	WOLF R 3 MILES SW OF HIAWATHA, KS	ST	39.81583620	-95.56414920	M	NAD27
USGS	06815575	Minnesota Valley Creek near Mound City, MO	ST	40.15608330	-95.26522220	5	NAD83
USGS	06815578	WOLF R AT HIAWATHA, KS	ST	39.79278140	-95.52692600	M	NAD27
USGS	06815600	WOLF R NR HIAWATHA, KS	ST	39.80778119	-95.47081380	M	NAD27
USGS	06815700	BUTTERMILK C NR WILLIS, KS	ST	39.75444766	-95.45081300	M	NAD27
USGS	06815800	WOLF R AT LEONA, KS	ST	39.78138907	-95.32136570	M	NAD27
USGS	06815880	WOLF R NR SPARKS, KS	ST	39.82221958	-95.19191890	M	NAD27
USGS	06815900	WOLF R AT SPARKS, KS	ST	39.85360820	-95.18303010	R	NAD27
USGS	06815990	Missouri River near Oregon, MO	ST	39.90766667	-95.16225000	1	NAD83
USGS	06816000	Mill Creek at Oregon, MO	ST	39.98186944	-95.12661390	S	NAD83
USGS	06816290	West Nodaway River at Massena, IA	ST	41.24554250	-94.75775500	F	NAD27
USGS	06816300	West Nodaway River near Cumberland, IA	ST	41.19998826	-94.86692630	U	NAD27
USGS	06816350	Sevenmile Creek near Lyman, IA	ST	41.24998990	-94.98359930	U	NAD27
USGS	06816400	Sevenmile Creek near Mortons Mill, IA	ST	41.09998976	-95.00026390	U	NAD27
USGS	06816500	West Nodaway River at Villisca, IA	ST	40.93083330	-94.99694440	S	NAD83
USGS	06816550	West Nodaway River near Villisca, IA	ST	40.91665630	-95.00026020	U	NAD27
USGS	06816900	Middle Nodaway River near Villisca, IA	ST	40.91665610	-94.98359290	U	NAD27
USGS	06817000	Nodaway River at Clarinda, IA	ST	40.74322220	-95.01452780	F	NAD83
USGS	06817100	East Nodaway River near Shambaugh, IA	ST	40.63332405	-95.01692160	U	NAD27
USGS	06817200	Nodaway River near Braddyville, IA	ST	40.61665740	-95.01692130	U	NAD27
USGS	06817300	East Nodaway River at Highway 2 near Clarinda, IA	ST	40.72747220	-94.98025000	F	NAD83
USGS	06817500	Nodaway River near Burlington Junction, MO	ST	40.44491667	-95.09030560	F	NAD83
USGS	06817700	Nodaway River near Graham, MO	ST	40.20252778	-95.06958330	F	NAD83
USGS	06817800	Nodaway River nr Oregon, MO	ST	39.97193898	-94.99636170	S	NAD27
USGS	06817980	BLACKSNAKE CREEK AT ST. JOSEPH MO	ST	39.79971650	-94.84079910	S	NAD27
USGS	06818000	Missouri River at St. Joseph, MO	ST	39.75325000	-94.85683330	5	NAD83
USGS	06819100	West Branch 102 River near Gravity, IA	ST	40.82248730	-94.80025140	F	NAD27
USGS	06819120	West Branch 102 River blw Middle Fk nr Gravity, IA	ST	40.79943200	-94.81191820	F	NAD27
USGS	06819140	West Branch 102 River near New Market, IA	ST	40.72721047	-94.84552930	F	NAD27
USGS	06819150	West Fork 102 River near New Market, IA	ST	40.71415509	-94.85441830	F	NAD27
USGS	06819190	East Fork 102 River near Bedford, IA	ST	40.63359880	-94.74858080	F	NAD27
USGS	06819195	Middle Fork 102 River near Bedford, IA	ST	40.59082204	-94.82302680	F	NAD27
USGS	06819500	One Hundred and Two River at Maryville, MO	ST	40.34550000	-94.83236110	F	NAD83
USGS	06819550	Mozingo Creek near Pickering, MO	ST	40.43111110	-94.77222220	M	NAD83
USGS	06820000	White Cloud Creek near Maryville, MO	ST	40.38922500	-94.90975560	S	NAD83
USGS	06820300	Big Slough near Wilcox, MO	ST	40.38971290	-94.92580550	S	NAD27
USGS	06820410	One Hundred Two River near Bolckow, MO	ST	40.11358330	-94.83761110	F	NAD83
USGS	06889990	DELAWARE R NR HORTON, KS	ST	39.66734075	-95.65968310	M	NAD27
USGS	06890000	L DELAWARE R NR HORTON, KS	ST	39.69623785	-95.56391470	M	NAD27
USGS	06890010	MISSION C AT HORTON, KS	ST	39.66000188	-95.51831320	M	NAD27
USGS	06890030	GRASSHOPPER C WEST OF HORTON, KS	ST	39.66527920	-95.54609160	M	NAD27
USGS	374254094524501	St. Joseph	GW	39.71558330	-94.87994440	5	NAD83
USGS	393937095213601	04S 18E 35ADD 01	GW	39.66027785	-95.36025390	T	NAD27
USGS	393937095384000	DELAWARE R AT K20 AND GOLDFINCH RD, KICKAPOO, KS	ST	39.66027778	-95.64444440	1	NAD83
USGS	393939095494501	04S 14E 34ADD 01	GW	39.66083010	-95.82943300	M	NAD27
USGS	393941095494301	04S 14E 34ADDA01	GW	39.66138570	-95.82887750	M	NAD27
USGS	393942095334001	04S 17E 31BC  01	GW	39.66166769	-95.56136970	T	NAD27
USGS	393947095402901	04S 16E 31BCB 01	GW	39.66305420	-95.67498340	T	NAD27
USGS	393952095022101	04S 21E 35BBC 01	GW	39.66443940	-95.03941340	T	NAD27
USGS	393952095033701	04S 21E 33AAD 01	GW	39.66443977	-95.06052500	T	NAD27
USGS	393952095043601	04S 21E 33BBC 01	GW	39.66444000	-95.07691420	T	NAD27
USGS	393952095451501	04S 15E 32AAD 01	GW	39.66444155	-95.75442980	T	NAD27
USGS	393952095451502	04S 15E 32AAD 02	GW	39.66444155	-95.75442980	T	NAD27
USGS	393952095553401	04S 13E 35ABC 01	GW	39.66444098	-95.92638190	M	NAD27
USGS	393955095334001	04S 17E 31BB  01	GW	39.66527888	-95.56136980	T	NAD27
USGS	393957095250101	04S 18E 32AAA 01	GW	39.66583439	-95.41719980	T	NAD27
USGS	393958095030301	04S 21E 34BAA 01	GW	39.66610628	-95.05108030	T	NAD27
USGS	393958095081501	04S 20E 35AAB 01	GW	39.66610767	-95.13774890	T	NAD27
USGS	393958095083201	04S 20E 35ABB 01	GW	39.66610775	-95.14247130	T	NAD27
USGS	393959095360901	04S 16E 34AAA 01	GW	39.66638915	-95.60275960	T	NAD27
USGS	393959095444001	04S 15E 33BAA 01	GW	39.66638617	-95.74470730	T	NAD27
USGS	393959095550201	04S 13E 36BBB 01	GW	39.66638548	-95.91749260	T	NAD27
USGS	393959095554201	04S 13E 35BAA 01	GW	39.66638540	-95.92860420	T	NAD27
USGS	393959096000501	04S 13E 31BAA 01	GW	39.66638520	-96.00166300	T	NAD27
USGS	394002094580601	T56N R36W 29DDC1	GW	39.66832780	-94.96774500	F	NAD27
USGS	394005095043601	04S 21E 28CCC 01	GW	39.66805110	-95.07691430	T	NAD27
USGS	394005095124401	04S 20E 30DDC 01	GW	39.66805330	-95.21247280	T	NAD27
USGS	394005095350101	04S 16E 26DDD 01	GW	39.66805625	-95.58387030	T	NAD27
USGS	394005095350102	04S 16E 26DDD 02	GW	39.66805625	-95.58387030	T	NAD27
USGS	394005095480001	04S 14E 25CDD 01	GW	39.66805257	-95.80026520	T	NAD27
USGS	394005095480801	04S 14E 25CDC 01	GW	39.66805257	-95.80248750	T	NAD27
USGS	394005095500301	04S 14E 27DCD 01	GW	39.66805245	-95.83443340	T	NAD27
USGS	394005095504601	04S 14E 27CCC 01	GW	39.66805240	-95.84637830	T	NAD27
USGS	394005095540601	04S 13E 25DDD 01	GW	39.66805220	-95.90193640	T	NAD27
USGS	394005095551001	04S 13E 26DDD 01	GW	39.66805216	-95.91971490	T	NAD27
USGS	394005095581401	04S 13E 28CCC 01	GW	39.66805198	-95.97082830	T	NAD27
USGS	394006095390501	04S 16E 29CDC 01	GW	39.66833260	-95.65164960	T	NAD27
USGS	394006095392201	04S 16E 29CCC 01	GW	39.66833250	-95.65637190	T	NAD27
USGS	394006095393600	DELAWARE RIVER  04S 16E 30DDD	ST	39.66833330	-95.66000000	S	NAD83
USGS	394016095192001	04S 19E 29CBC 01	GW	39.67111069	-95.32247540	T	NAD27
USGS	394023095171001	04S 19E 28DAA 01	GW	39.67305455	-95.28636350	T	NAD27
USGS	394024095123501	04S 20E 30DAA 01	GW	39.67333107	-95.20997290	T	NAD27
USGS	394024095403500	UNNAMED TRIB AT K20 AND FALCON RD, KICKAPOO, KS	ST	39.67333330	-95.67638890	1	NAD83
USGS	394029095305300	MISSION LAKE, KS  04S 17E 28DBA	LK	39.67472220	-95.51472220	S	NAD83
USGS	394030095155201	04S 19E 26BCC 01	GW	39.67499865	-95.26469630	T	NAD27
USGS	394030095252701	04S 18E 29ACC 01	GW	39.67500130	-95.42442230	T	NAD27
USGS	394032095305400	MISSION LAKE, KS  04S 17E 28ACB SITE 1B	LK	39.67555556	-95.51500000	S	NAD83
USGS	394033095305500	MISSION LAKE, KS  04S 17E 28ACB SITE 1A	LK	39.67583330	-95.51527780	S	NAD83
USGS	394034094544801	T56N R36W 11CCD1	GW	39.67666136	-94.91274380	F	NAD27
USGS	394036095253601	04S 18E 29BDA 01	GW	39.67666807	-95.42692240	T	NAD27
USGS	394043095253601	04S 18E 29BAD 01	GW	39.67861255	-95.42692240	T	NAD27
USGS	394043095254401	04S 18E 29BAC 01	GW	39.67861259	-95.42914470	T	NAD27
USGS	394049095181901	04S 19E 29AAA 01	GW	39.68027716	-95.30553070	T	NAD27
USGS	394049095192801	04S 19E 30AAA 01	GW	39.68027749	-95.32469780	T	NAD27
USGS	394051095094801	04S 20E 27BAA 01	GW	39.68083030	-95.16358300	M	NAD27
USGS	394051095095601	04S 20E 27BAB 01	GW	39.68083035	-95.16580540	T	NAD27
USGS	394051095511301	04S 14E 28ABA 01	GW	39.68083036	-95.85387880	T	NAD27
USGS	394051095561401	04S 13E 27AAA 01	GW	39.68083000	-95.93749370	T	NAD27
USGS	394051095571801	04S 13E 28AAA 01	GW	39.68082995	-95.95527220	T	NAD27
USGS	394054095385301	04S 16E 29ABBB01  SITE 16-1	GW	39.68171667	-95.64796670	H	NAD83
USGS	394056095141801	04S 19E 24CDD 01	GW	39.68222046	-95.23858470	T	NAD27
USGS	394056095195701	04S 19E 19CDD 01	GW	39.68222209	-95.33275360	T	NAD27
USGS	394056095272401	04S 17E 24DDCC01  SITE 31-3	GW	39.68208330	-95.45671670	H	NAD83
USGS	394057095084001	04S 20E 23CDD 01	GW	39.68249666	-95.14469380	T	NAD27
USGS	394057095132601	04S 20E 19CCD 01	GW	39.68249800	-95.22414000	T	NAD27
USGS	394057095310900	MISSION LAKE, KS  04S 17E 21CDD	LK	39.68250000	-95.51916670	S	NAD83
USGS	394057095312301	04S 17E 21CCC 01	GW	39.68250229	-95.52331360	T	NAD27
USGS	394057095345301	04S 16E 24CCC 01	GW	39.68250105	-95.58164820	T	NAD27
USGS	394058095515601	04S 14E 21CCC 01	GW	39.68277478	-95.86582380	T	NAD27
USGS	394058095523101	04S 14E 20DCC 01	GW	39.68277474	-95.87554650	T	NAD27
USGS	394058095551001	04S 13E 23DDD 01	GW	39.68277456	-95.91971510	T	NAD27
USGS	394058095560601	04S 13E 23CCC 01	GW	39.68277450	-95.93527140	T	NAD27
USGS	394058095592601	04S 13E 19DDD 01	GW	39.68277427	-95.99082940	T	NAD27
USGS	394059095403500	CRAIG C AT 120 ST AND FALCON RD, KICKAPOO, KS	ST	39.68305556	-95.67638890	1	NAD83
USGS	394104094585901	04S 22E 19CDA 01	GW	39.68443870	-94.98330140	T	NAD27
USGS	394104095004001	04S 21E 24DCB 01	GW	39.68443884	-95.01135760	T	NAD27
USGS	394104095004002	04S 21E 24DCB 02	GW	39.68443884	-95.01135760	T	NAD27
USGS	394111095570901	04S 13E 22CBC 01	GW	39.68638558	-95.95277220	T	NAD27
USGS	394115095155301	04S 19E 23CBB 01	GW	39.68749870	-95.26497430	M	NAD27
USGS	394117095055201	04S 21E 19DAA 01	GW	39.68805140	-95.09802620	T	NAD27
USGS	394117095303300	MISSION LAKE BASIN, KS  04S 17E 21DAA	LK	39.68805556	-95.50916670	S	NAD83
USGS	394117095540501	04S 13E 24DAA 01	GW	39.68805248	-95.90165880	T	NAD27
USGS	394118095303000	MISSION LAKE BASIN, KS  04S 17E 22CBB	LK	39.68833330	-95.50833330	S	NAD83
USGS	394124095313700	MISSION LAKE BASIN, KS  04S 17E 21BCC	LK	39.69000000	-95.52694440	S	NAD83
USGS	394124096004401	04S 12E 24ADD 01	GW	39.68999660	-96.01249710	T	NAD27
USGS	394128095143501	04S 19E 24BCA 01	GW	39.69110947	-95.24330720	T	NAD27
USGS	394128095171001	04S 19E 21ADA 01	GW	39.69111020	-95.28636380	T	NAD27
USGS	394130095494501	04S 14E 22ADA 01	GW	39.69166396	-95.82943340	T	NAD27
USGS	394136095051801	04S 21E 20BAD 01	GW	39.69332900	-95.08858170	T	NAD27
USGS	394136095104701	04S 20E 21ABC 01	GW	39.69333060	-95.17997250	T	NAD27
USGS	394137095392800	UNNAMED TRIB AT 130 ST AND FOXTAIL R, KICKAPOO, KS	ST	39.69361110	-95.65777780	1	NAD83
USGS	394141095175401	04S 19E 21BAB 01	GW	39.69472160	-95.29858630	T	NAD27
USGS	394141095304600	MISSION LAKE BASIN, KS  04S 17E 21AAB	LK	39.69472220	-95.51277780	S	NAD83
USGS	394143095044401	04S 21E 20AAA 01	GW	39.69527328	-95.07913700	T	NAD27
USGS	394143095123601	04S 20E 19AAA 01	GW	39.69527557	-95.21025100	T	NAD27
USGS	394143095411301	04S 15E 24BAA 01	GW	39.69527684	-95.68720620	T	NAD27
USGS	394143095462401	04S 15E 19AAA 01	GW	39.69527538	-95.77359750	T	NAD27
USGS	394143095560501	04S 13E 23BBB 01	GW	39.69527464	-95.93499370	T	NAD27
USGS	394143095594601	04S 13E 19ABA 01	GW	39.69527436	-95.99638540	T	NAD27
USGS	394146095320000	MISSION LAKE BASIN, KS  04S 17E 17DDC	LK	39.69611110	-95.53333330	S	NAD83
USGS	394146095321300	MISSION LAKE BASIN, KS  04S 17E 20BAA	LK	39.69611110	-95.53694440	S	NAD83
USGS	394147095311100	MISSION LAKE BASIN, KS  04S 17E 16CDC	LK	39.69638889	-95.51972220	S	NAD83
USGS	394147095414900	PLUM C AT 130 ST AND DEWBERRY RD, KICKAPOO, KS	ST	39.69638889	-95.69694440	1	NAD83
USGS	394147095504401	04S 14E 21AAAA01  SITE 0-2	GW	39.69635000	-95.84560000	H	NAD83
USGS	394148095192001	04S 19E 17CCC 01	GW	39.69666650	-95.32247580	T	NAD27
USGS	394148095224401	04S 18E 15DDD 01	GW	39.69666754	-95.37914380	T	NAD27
USGS	394149095084001	04S 20E 14CDD 01	GW	39.69694109	-95.14469400	T	NAD27
USGS	394149095123601	04S 20E 18DDD 01	GW	39.69694224	-95.21025100	T	NAD27
USGS	394149095300101	04S 17E 15CDC 01	GW	39.69694756	-95.50053550	T	NAD27
USGS	394150095550101	04S 13E 13CCC 01	GW	39.69721919	-95.91721520	T	NAD27
USGS	394151094531501	Contrary Creek nr St. Joseph, MO	ST	39.69755556	-94.88752780	S	NAD83
USGS	394156095591801	04S 13E 17CCB 01	GW	39.69888554	-95.98860730	T	NAD27
USGS	394200094523001	T56N R35W 06	GW	39.69999468	-94.87524320	M	NAD27
USGS	394201095192001	04S 19E 17CBC 01	GW	39.70027764	-95.32247590	T	NAD27
USGS	394202095023801	04S 21E 15DAC 01	GW	39.70055040	-95.04413640	T	NAD27
USGS	394202095032801	04S 21E 15CBC 01	GW	39.70055066	-95.05802560	T	NAD27
USGS	394209095002301	04S 21E 13DAB 01	GW	39.70249418	-95.00663570	T	NAD27
USGS	394209095303000	MISSION LAKE BASIN, KS  04S 17E 15CBB	LK	39.70250000	-95.50833330	S	NAD83
USGS	394209095581301	04S 13E 16CBB 01	GW	39.70249678	-95.97055100	T	NAD27
USGS	394210095382401	04S 16E 17DAA 01	GW	39.70277800	-95.64026080	T	NAD27
USGS	394214095160201	04S 19E 15ADD 01	GW	39.70388775	-95.26747460	T	NAD27
USGS	394215095005601	04S 21E 13BDC 01	GW	39.70416100	-95.01580260	T	NAD27
USGS	394220095201201	04S 19E 18BCA 01	GW	39.70555575	-95.33692070	T	NAD27
USGS	394220095305800	MISSION LAKE BASIN, KS  04S 17E 16ACA	LK	39.70555556	-95.51611110	S	NAD83
USGS	394222094571301	04S 22E 17BDB 01	GW	39.70610537	-94.95385660	T	NAD27
USGS	394222095313101	04S 17E 17ADA 01	GW	39.70611389	-95.52553620	T	NAD27
USGS	394227095192001	04S 19E 17BBC 01	GW	39.70749990	-95.32247600	T	NAD27
USGS	394228095010501	04S 21E 13BBD 01	GW	39.70777210	-95.01830270	T	NAD27
USGS	394229095360901	04S 16E 15AAD 01	GW	39.70805670	-95.60276010	T	NAD27
USGS	394230094533001	T57N R36W 36CDC1	GW	39.70832787	-94.89191040	M	NAD27
USGS	394233095320600	MISSION LAKE BASIN, KS  04S 17E 17ABB	LK	39.70916667	-95.53500000	S	NAD83
USGS	394235095093101	04S 20E 15ABA 01	GW	39.70971910	-95.15886130	T	NAD27
USGS	394235095474301	04S 14E 13ABA 01	GW	39.70971998	-95.79554310	T	NAD27
USGS	394235095533901	04S 14E 18BAA 01	GW	39.70971947	-95.89443650	T	NAD27
USGS	394235095571701	04S 13E 16AAA 01	GW	39.70971915	-95.95499480	T	NAD27
USGS	394236095311400	MISSION LAKE BASIN, KS  04S 17E 16BAB	LK	39.71000000	-95.52055560	S	NAD83
USGS	394238095311500	MISSION LAKE BASIN, KS  04S 17E 16BABA	LK	39.71055556	-95.52083330	S	NAD83
USGS	394239095320500	MISSION LAKE BASIN, KS  04S 17E 08DCC	LK	39.71083330	-95.53472220	S	NAD83
USGS	394239095565501	04S 13E 15BAAA01  SITE 0-3	GW	39.71070000	-95.94861670	H	NAD83
USGS	394240095165301	04S 19E 10CCD 01	GW	39.71111029	-95.28164170	T	NAD27
USGS	394240095183701	04S 19E 08DCD 01	GW	39.71111085	-95.31053130	T	NAD27
USGS	394240095230101	04S 18E 10DCD 01	GW	39.71111228	-95.38386630	T	NAD27
